npc,direction,runtime,width,height,bytes,sha256
fria_merchant_camp,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_merchant_camp/idle_left.webp,72,96,9444,5893fbf2823f1700b8042fb98d90f5a9cf0a1c37b3fbac91d0c4b8774ead8ede
fria_merchant_camp,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_merchant_camp/idle_right.webp,72,96,9368,54d5ba98bbcca233099adaef9614b73f2bf019064a552541a2506bc59fcb0ef6
fria_merchant_glacial,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_merchant_glacial/idle_down.webp,72,96,9650,7a0222f7193538d9538e4e51a93985ddf5cb141e7d4e09f339611f94eb5f6628
fria_merchant_glacial,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_merchant_glacial/idle_up.webp,72,96,9604,47a51fd12dd5d99b07c4eea6fa84e7c6bc1f5de9880675b93fd957cd9fa424da
fria_merchant_glacial,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_merchant_glacial/idle_left.webp,72,96,9712,2e679540a94518c4219b2893e1e3575bb56d5dbc2b2045fc4dffc1b97bd5686f
fria_merchant_glacial,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_merchant_glacial/idle_right.webp,72,96,9280,47e4095e76685867e19426740c1909739c9fe4c552f0b4457e0ff64eb292bcf0
fria_merchant_royal,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_merchant_royal/idle_down.webp,72,96,8758,dd3ee5df60d6079ad385996d1cea70b745bde320079bff11ad9c135a85a8fec4
fria_merchant_royal,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_merchant_royal/idle_up.webp,72,96,7792,5ca954efd548b772c8672e2acd33db5c3aa7072955db67135748c2006d99c200
fria_merchant_royal,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_merchant_royal/idle_left.webp,72,96,8866,649dfe86d1cf61822ff8f2bf01c376a82ad1fb52a8f985b76af5ce4d8579ef30
fria_merchant_royal,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_merchant_royal/idle_right.webp,72,96,8462,31839efd663b02722877a40f27bbfeab8e2ddf2c2a0d028ef178d37d56fc2c05
fria_queen,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_queen/idle_down.webp,72,96,8306,53a97ff09e630d49efa42aa637eb225a1de1e93592c717ba7d41dfe0fcd3f963
fria_queen,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_queen/idle_up.webp,72,96,8108,07a252ce86de80f0483bb708ec434e3b015afa28124cf269316e292ba05c2a83
fria_queen,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_queen/idle_left.webp,72,96,7882,9bbaf4bc0c9eaf6ae659553c5d46c4da416e43f0c3f5f190923f6369e83b79a3
fria_queen,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_queen/idle_right.webp,72,96,7912,d88adb64bf56eef3d20f974027c90f84e2a29f5bf61936a986860661f59a0fae
fria_refuge_keeper,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_refuge_keeper/idle_down.webp,72,96,10038,f4494f36f7e301a1485331f4eb3f3d8e2a4bfa7f043fca79486e8a22e522fc3d
fria_refuge_keeper,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_refuge_keeper/idle_up.webp,72,96,8670,06c576dbe3545407614a880e978dcadfce12bae177c2dce27075d934cefa53a5
fria_refuge_keeper,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_refuge_keeper/idle_left.webp,72,96,9258,5a2ede7ea76365b22b8132ae1c97541fb51e79c2be71213a0763ee11528039e5
fria_refuge_keeper,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_refuge_keeper/idle_right.webp,72,96,9620,2460df4b3e988d2f653a2edcf6b8d87583ac773686bc1cd5786af60a94c698cf
fria_shaman,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_shaman/idle_down.webp,72,96,10114,abaf486ce52f814f768c3c77ba5622752d183dd853d2cffa23908f80633f9a08
fria_shaman,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_shaman/idle_up.webp,72,96,9578,43c4ab7a0d36ff324a68f52c9cde7ee174e70b8972f0d032d308de02b9dc4565
fria_shaman,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_shaman/idle_left.webp,72,96,11310,dc0fc404cf20da3be9689ca1616985fca2572e33457a1142e1c07615a9180c41
fria_shaman,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_shaman/idle_right.webp,72,96,11018,b0da2bc109a1ddd22aba26dcec729774543b932811b88215af7e307af1e541a2
